MI_PRINX,SL Number,Site ID,Street Location,Between Street 1,Between Street 2,Direction Bound,Start Date,End Date,Count Year,Ave Weekday Traffic,ADT,AM Peak 8 To 9,PM Peak 5 To 6,Percent Heavy Vehicles,Speed Limit,Percentile 85th,Percent Exceed Speed Limit,Data Collected By,Longitude,Latitude,x,y
234,51,KINGPR_THOMAS_WALKER,Kings Park Avenue,Thomas street,Walker Avenue,Eastbound kerbside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,5253,500,593,512,0.4,60,55.26,3.913,Austraffic,115.833495,-31.9553,12894717.6971,-3756881.1398
235,52,KINGPR_THOMAS_WALKER,Kings Park Avenue,Thomas street,Walker Avenue,Eastbound offside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,5547,4355,606,517,0.1,60,57.78,7.522,Austraffic,115.833495,-31.9553,12894717.6971,-3756881.1398
236,53,KINGPR_THOMAS_WALKER,Kings Park Avenue,Thomas street,Walker Avenue,Westbound kerbside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,3123,2507,244,329,0.1,60,60.66,17.6,Austraffic,115.833495,-31.9553,12894717.6971,-3756881.1398
237,54,KINGPR_THOMAS_WALKER,Kings Park Avenue,Thomas street,Walker Avenue,Westbound offside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,9102,7237,813,972,0.5,60,59.04,11.6,Austraffic,115.833495,-31.9553,12894717.6971,-3756881.1398
238,74,HAYST_THOMAS_OUTRAM,Hay Street,Thomas St,Outram St,West,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,7088,5754,641,663,0.0293,50,43.9,0.0373,Pantagon,115.838161,-31.947414,12895046.3063,-3756408.1104
239,55,KINGPR_OUTRAM_ALTONA,Kings Park Avenue,Outram street,Altona street,Eastbound offside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,5908,4606,570,611,0.3,60,54.18,2.39,Austraffic,115.838285,-31.952035,12895060.1064,-3757014.3548
240,56,KINGPR_OUTRAM_ALTONA,Kings Park Avenue,Outram street,Altona street,Eastbound Kerbside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,4458,3513,501,421,0.1,60,56.88,5.18,Austraffic,115.838285,-31.952035,12895060.1064,-3757014.3548
241,57,KINGPR_OUTRAM_ALTONA,Kings Park Avenue,Outram street,Altona street,Westbound Offside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,8292,6624,760,820,2.3,60,59.89,13.49,Austraffic,115.838285,-31.952035,12895060.1064,-3757014.3548
242,58,KINGPR_OUTRAM_ALTONA,Kings Park Avenue,Outram street,Altona street,Westbound Kerbside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,3661,2903,349,370,0.2,60,61.02,19.6,Austraffic,115.838285,-31.952035,12895060.1064,-3757014.3548
243,61,MURRAY_THOMAS_OUTRAM,Murray Street,Thomas St,Outram St,East,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,6959,6367,706,458,0.0542,50,52.9,0.2858,Pantagon,115.839622,-31.946368,12895208.9452,-3756270.8861
244,20,MAYFR_OUTRAM_COLNST,Mayfair street,Outram street,Colin street,Eastbound/westbound,10/16/2023 12:00:00 AM,10/23/2023 12:00:00 AM,2023,1318,994,245,121,0.3,50,26.64,0.043,COP,115.8404414,-31.9471422,12895300.1597,-3756372.4528
245,59,WELGTN_THOMAS_OUTRAM,Wellington Street,Thomas St,Outram St,West,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,4076,3794,313,338,0.0717,50,51.3,0.1955,Pantagon,115.840808,-31.945663,12895340.971,-3756178.3983
246,60,WELGTN_THOMAS_OUTRAM,Wellington Street,Thomas St,Outram St,East,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,4213,3874,411,355,0.0339,50,53.6,0.3262,Pantagon,115.840873,-31.945668,12895348.2067,-3756179.0543
247,19,MAYFR_OUTRAM_COLNST,Mayfair street,Outram street,Colin street,Eastbound,10/16/2023 12:00:00 AM,10/23/2023 12:00:00 AM,2023,558,431,21,120,0.5,50,31.5,0.112,COP,115.8417632,-31.9475667,12895447.3014,-3756428.1428
248,59,KINGPR_HAVLCK_FRASAV,Kings Park Avenue,Havelock street,Fresher Avenue,Eastbound Kerbside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,5112,4022,422,489,0.5,60,60.3,16.11,Austraffic,115.842638,-31.953478,12895544.6798,-3757203.6713
249,60,KINGPR_HAVLCK_FRASAV,Kings Park Avenue,Havelock street,Fresher Avenue,Eastbound offside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,4794,3801,497,455,0.4,60,63.18,34.37,Austraffic,115.842638,-31.953478,12895544.6798,-3757203.6713
250,61,KINGPR_HAVLCK_FRASAV,Kings Park Avenue,Havelock street,Fresher Avenue,Westbound kerbside,8/22/2023 12:00:00 AM,9/5/2023 12:00:00 AM,2023,5079,4032,520,469,0.4,60,60.12,15.36,Austraffic,115.843555,-31.953842,12895646.7598,-3757251.4273
